ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
90231,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90232,"$2,420 ","$2,710 ","$3,420 ","$4,350 ","$4,820 "
90239,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90240,"$1,940 ","$2,180 ","$2,750 ","$3,490 ","$3,870 "
90241,"$1,750 ","$1,970 ","$2,480 ","$3,150 ","$3,490 "
90242,"$1,760 ","$1,970 ","$2,490 ","$3,160 ","$3,510 "
90245,"$2,470 ","$2,770 ","$3,490 ","$4,430 ","$4,920 "
90247,"$1,630 ","$1,830 ","$2,310 ","$2,940 ","$3,250 "
90248,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90249,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90250,"$1,650 ","$1,860 ","$2,340 ","$2,970 ","$3,300 "
90251,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90254,"$2,700 ","$3,030 ","$3,820 ","$4,850 ","$5,380 "
90255,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90260,"$1,770 ","$1,980 ","$2,500 ","$3,180 ","$3,520 "
90261,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90262,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90263,"$2,790 ","$3,130 ","$3,940 ","$5,010 ","$5,570 "
90264,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90265,"$2,790 ","$3,130 ","$3,940 ","$5,010 ","$5,570 "
90266,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
90267,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
90270,"$1,600 ","$1,810 ","$2,290 ","$2,940 ","$3,240 "
90272,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
90274,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
90275,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
90277,"$2,440 ","$2,740 ","$3,450 ","$4,380 ","$4,860 "
